Path,Type,Size
E:\PicToMy\001\148.jpg,File,475600
E:\PicToMy\001\149.jpg,File,423856
E:\PicToMy\001\150.jpg,File,343408
E:\PicToMy\001\151.jpg,File,329232
E:\PicToMy\001\152.jpg,File,401712
E:\PicToMy\001\153.jpg,File,444448
E:\PicToMy\001\154.jpg,File,214080
E:\PicToMy\001\155.jpg,File,301312
E:\PicToMy\001\156.jpg,File,320256
E:\PicToMy\001\157.jpg,File,334272
E:\PicToMy\001\158.jpg,File,356816
E:\PicToMy\001\159.jpg,File,394224
E:\PicToMy\001\160.jpg,File,405152
E:\PicToMy\001\161.jpg,File,415712
E:\PicToMy\001\162.jpg,File,376304
E:\PicToMy\001\163.jpg,File,379344
E:\PicToMy\001\164.jpg,File,383648
